GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cse364-project,com.unistgympeople.realTime.service,UserServiceImpl,0,176,0,4,0,37,0,13,0,11
cse364-project,com.unistgympeople.realTime.service,UsernumServiceImpl,0,130,0,6,0,30,0,10,0,7
cse364-project,com.unistgympeople.chatRoom.handler,ChatRoomWebSocketHandler,0,41,0,0,0,8,0,3,0,3
cse364-project,com.unistgympeople.chatRoom.handler,ChatRoomWebSocketConfig,0,25,0,0,0,3,0,2,0,2
cse364-project,com.unistgympeople,Application,5,3,0,0,2,1,1,1,1,1
cse364-project,com.unistgympeople.chatRoom.service,ChatService,6,57,0,0,2,16,0,7,0,7
cse364-project,com.unistgympeople.realTime.handler,RealTimeWebSocketConfig,0,25,0,0,0,3,0,2,0,2
cse364-project,com.unistgympeople.realTime.handler,RealTimeWebSocketHandler,47,15,2,0,14,3,5,2,4,2
cse364-project,com.unistgympeople.realTime.model,User.UserType,0,15,0,0,0,2,0,1,0,1
cse364-project,com.unistgympeople.realTime.model,Usernum,0,31,0,0,0,6,0,9,0,9
cse364-project,com.unistgympeople.realTime.model,User,0,31,0,0,0,9,0,9,0,9
cse364-project,com.unistgympeople.realTime.controller,UserController,0,103,0,0,0,26,0,10,0,10
cse364-project,com.unistgympeople.Calender.controller,ExerciseController,0,25,0,0,0,6,0,5,0,5
cse364-project,com.unistgympeople.Calender.controller,CalenderController,14,32,0,0,2,10,1,5,1,5
cse364-project,com.unistgympeople.chatRoom.model,ChatMessage,0,31,0,0,0,6,0,9,0,9
cse364-project,com.unistgympeople.chatRoom.model,ChatRoom.ChatRoomBuilder,6,21,0,0,0,1,1,4,1,4
cse364-project,com.unistgympeople.chatRoom.model,ChatMessage.MessageType,0,15,0,0,0,2,0,1,0,1
cse364-project,com.unistgympeople.chatRoom.model,ChatRoom,0,62,0,2,0,16,0,9,0,8
cse364-project,com.unistgympeople.Calender.model,Exercise,0,33,0,0,0,9,0,8,0,8
cse364-project,com.unistgympeople.Calender.model,Calender,0,54,0,0,0,13,0,12,0,12
cse364-project,com.unistgympeople.Calender.Service,ExerciseServiceImpl,0,76,0,4,0,21,0,8,0,6
cse364-project,com.unistgympeople.Calender.Service,CalenderServiceImpl,0,181,0,8,0,38,0,11,0,7
cse364-project,com.unistgympeople.chatRoom.controller,ChatController,0,15,0,0,0,3,0,3,0,3
